MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
SM-G610F,864316,galaxy j7 prime,samsung,280.0,2016.0,8.0,2016.666666666667,5.5,8.0,1920.0,1080.0,0.4999999999997726,5,2,6,0,6,6,6,6,1,1,4,2,1,1,1,0,2,0,7,7,0,3,3,3
T00J,845082,zenfone 5,asus,130.0,2014.0,4.0,2014.333333333333,5.0,8.0,1280.0,720.0,2.8333333333337123,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
SM-A500F,832356,galaxy a5,samsung,290.0,2014.0,11.0,2014.916666666667,5.0,13.0,1280.0,720.0,2.2499999999997726,2,6,7,6,1,0,4,0,1,2,3,1,4,4,4,1,2,0,4,1,6,6,6,6
Smart Max 4.0,823073,smart max 4.0,true,80.0,2016.0,,2016.5,4.0,5.0,,,0.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
N5111,791290,n1 mini,oppo,330.0,2014.0,8.0,2014.666666666667,5.0,13.0,1280.0,720.0,2.4999999999997726,2,6,7,4,1,0,4,0,1,2,1,1,3,3,3,3,2,0,4,1,6,6,6,6
SM-G530F,789623,galaxy grand prime,samsung,150.0,2014.0,10.0,2014.833333333333,5.0,8.0,960.0,540.0,2.3333333333337123,5,2,6,7,5,5,5,5,2,1,4,2,1,1,1,0,6,7,2,9,2,2,2,0
GT-I9082L,782188,galaxy grand,samsung,180.0,2013.0,1.0,2013.083333333333,5.0,8.0,800.0,480.0,4.083333333333712,4,7,4,3,0,1,9,9,4,0,8,9,5,5,0,10,6,5,4,8,3,1,4,1
GT-I9082,767704,galaxy grand,samsung,180.0,2013.0,1.0,2013.083333333333,5.0,8.0,800.0,480.0,4.083333333333712,4,7,4,3,0,1,9,9,4,0,8,9,5,5,0,10,6,5,4,8,3,1,4,1
F1f,750859,f1,oppo,230.0,2016.0,1.0,2016.083333333333,5.0,13.0,1280.0,720.0,1.0833333333337123,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,11,0,3,3,3
SM-A710F,733993,galaxy a7 (2016),samsung,460.0,2015.0,12.0,2016.0,5.5,13.0,1920.0,1080.0,1.1666666666667425,6,3,2,6,4,4,0,4,5,4,7,8,6,6,6,6,4,1,7,7,4,4,1,5
