MODEL, MARKETING_NAME, VENDOR, DISPLAY_HEIGHT, DISPLAY_WIDTH, CAMERA_PIXELS, YEAR_RELEASED, DIAGONAL_SCREEN_SIZE, REACH
4024D,one touch pixi first,alcatel,800,480,5,2015,4,16
991D,one touch 991d,alcatel,480,320,NULL,2012,4.01,16
50 Diamond,50 diamond,archos,1920,1080,16,2015,5,16
HS-U8,hs-u8,hisense,800,480,5,2012,4,16
Flare XL Plus,flare xl plus,cherry mobile,1280,720,13,2015,5.5,16
A2107,ideatab a2107 / lepad a2107,lenovo,600,1024,3.15,2012,7,16
Kindle Fire HDX 8.9 LTE,kindle fire hdx 8.9,amazon,1600,2560,8,2013,8.9,16
P001,ptox,powerlead,NULL,NULL,NULL,2015,NULL,16
L01F,g2,lg,1920,1080,13,2015,5.2,16
4060A,ideal,alcatel,854,480,5,2016,4.5,16
Superion Odyssey,superion odyssey,cherry mobile,1024,768,5,2013,7.85,16
7047A,one touch pop c9,alcatel,960,540,8,2014,5.5,16
Lumia 535 Dual Sim,lumia 535 dual sim,microsoft,960,540,5,2014,5,16
Y321-U051,ascend y321,huawei,800,480,3,2014,4,16
V522,g pad 3 8.0,lg,1920,1200,5,2016,8,16
Mi One Plus,mi one plus,xiaomi,854,480,8,2011,4,16
Hammer S,hammer s,umi,1280,720,13,2015,5.5,16
SCH-R530C,galaxy s3,samsung,1280,720,8,2012,4.8,16
i9480,u9x1,ninetology,1280,720,13,2014,4.8,16
T60,t60,turkcell,1280,720,13,2015,5,16
SHV-E140S,galaxy tab 8.9 lte,samsung,800,1280,NULL,2012,8.880000000000001,16
E7-00,e7-00,nokia,640,360,NULL,2010,4.24,16
D693TR,g3 stylus,lg,960,540,13,2014,5.5,16
CHM-CL00,honor 4c,huawei,1280,720,13,2015,5,16
U8510,ideos x3,huawei,480,320,3.15,2011,3.2,16
6014X,one touch idol 2 mini l,alcatel,960,540,5,2013,4.5,16
G1305 Boston,gsmart g1305 boston,gigabyte,480,320,5,2011,2.84,16
M1101AS,m1101as,hisense,800,1280,0.3,2011,10.1,16
Z830,compel,zte,800,480,5,2014,4,16
MS870,spirit 4g,lg,960,540,5,2012,4.51,16
Rono,rono,orange,1280,720,8,2014,5,16
9010X,one touch pixi 3 (10),alcatel,800,1280,5,2015,10.1,16
Energy X 2,energy x 2,blu,1280,720,5,2016,5,16
6012X,one touch idol mini,alcatel,854,480,5,2013,4.3,16
45 Platinum,45 platinum,archos,960,540,5,2013,4.5,16
HD18Q,hd18q,andoer,NULL,NULL,NULL,2014,NULL,16
Eluga Icon,eluga icon,panasonic,1280,720,13,2015,5.5,16
VSP250s,venus 5.0 x,vestel,960,540,8,2014,5,16
LS720,optimus f3,lg,800,480,5,2013,4,16
MS769,optimus l9,lg,960,540,5,2013,4.5,16
IdeaPad K1,ideapad k1,lenovo,800,1280,5,2011,10.1,16
S880,s880,lenovo,800,480,NULL,2012,4.99,16
X600,note 2,infinix,1280,720,13,2015,6,16
Blade A112,blade a112,zte,1280,720,8,2016,5,16
6040A,one touch idol x,alcatel,1920,1080,13.1,2013,5,16
PadFone X,padfone x,asus,1920,1080,13,2014,5,16
Z955A,zmax 2,zte,1280,720,8,2016,5.5,16
801a,one,htc,1920,1080,4,2013,4.7,16
PMT7077,multipad 4 diamond,prestigio,768,1024,2,2014,7.85,16
PRO5043,joy 5,polaroid,960,540,5,2015,5,16
N939St,n939st,zte,1920,1080,13,2015,5.5,16
Crown,crown,blackview,1280,720,13,2014,5,15
SM-J120M,galaxy j1 (2016),samsung,854,480,5,2016,4.5,15
G31,g31,haier,854,480,5,2015,5,15
Aquaris M10,aquaris m10,bq,1200,1920,8,2015,10.1,15
D806,g2 3g,lg,1920,1080,13,2013,5.2,15
SM-G531BT,galaxy grand prime duos tv,samsung,960,540,8,2014,5,15
Matrix,matrix,vortex,800,480,NULL,2016,3.97,15
SM-J321AZ,galaxy sol,cricket,1280,720,5,2016,5,15
Iris X8,iris x8,lava,1280,720,8,2015,5,15
OT-995,one touch ultra 995,alcatel,800,480,5,2012,4.3,15
BV2000S,bv2000s,blackview,1280,720,5,2015,5,15
GT-i9082C,galaxy grand neo+ duos,samsung,800,480,5,2013,5,15
GT-I9150,galaxy mega 5.8,samsung,960,540,8,2013,5.8,15
Titanium Octane Plus,titanium octane plus,karbonn,1920,1080,16,2014,5,15
S931,hummer h6,huawei,1280,720,5,2014,5,15
6045O,one touch idol 3,alcatel,1920,1080,13,2015,5.5,15
D6543,xperia z2,sony,1920,1080,20.1,2014,5.2,15
RM-867,lumia 920t,nokia,1280,768,8,2012,4.5,15
L55,l55,ulefone,960,540,2,2014,5.5,15
Ice 2,ice 2,highscreen,1280,720,13,2014,4.7,15
Mi Box 3,mi box 3,xiaomi,NULL,NULL,NULL,2016,NULL,15
Q372,unite 3,micromax,800,480,8,2015,4.7,15
LS-4503,flame 1,lyf,854,480,5,2016,4.5,15
N820,n820,amoi,960,540,8,2012,4.5,15
TM01,liquid m330,acer,854,480,5,2015,4.5,15
SM-P355M,galaxy tab a,samsung,768,1024,5,2015,8,15
Dslide 710,dslide 710,danew,480,800,2,2014,7,15
