"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"sm-g530mu","galaxy grand prime","samsung","960","540","8","2014","5",101
"im-a890k","vega secret note","pantech","1920","1080","13","2013","5.9",100
"desire 828","desire 828","htc","1920","1080","13","2015","5.5",100
"tx201la","transformer book trio","asus","1080","1920","5","2014","11.6",100
"sm-c115l","galaxy k zoom","samsung","1280","720","20","2014","4.8",100
"h30-t00","honor 3c","huawei","1280","720","8","2014","5",100
"getaway","getaway","wiko","1280","720","13","2014","5",100
"cynus t6","cynus t6","mobistel","960","540","8","2014","5",100
"shl22","aquos phone shl22","kddi","1280","720","13","2013","4.9",99
"h631","g stylo","t-mobile","1280","720","13","2015","5.7",99
"p725","optimus 3d max","lg","800","480","5","2012","4.3",99
"7048x","one touch go play","alcatel","1280","720","8","2016","5",99
"r7g","r7","oppo","1920","1080","13","2015","5",99
"t6s","t6s","thl","854","480","5","2014","5",99
"ale-tl00","p8 lite","huawei","1280","720","13","2015","5",98
"i-style 5","i-style 5","i-mobile","854","480","8","2013","5",98
"cam-al00","honor 5a","huawei","1280","720","13","2016","5.5",98
"f220","f220","qmobile","320","240","NULL","2009","NULL",98
"sm-t715n0","sm-t715n0","samsung","2048","1536","8","2015","8",98
"sm-g930r4","galaxy s7","us cellular","2560","1440","12.2","2016","5.1",98
"eva-l29","p9","huawei","1920","1080","12","2016","5.2",98
"p765","optimus l9","lg","960","540","8","2012","4.7",98
"h810","g4","at&t","2560","1440","16","2015","5.5",98
"vs820","vs820","lg","854","480","8","2015","4.5",97
"sm-g870w","galaxy s5 active","samsung","1920","1080","16","2014","5.1",97
"desire 626 dual sim","desire 626 dual sim","htc","1280","720","13","2015","5",97
"kdl-42w650a","bravia w650a","sony","1080","1920","NULL","2013","42",97
"5070d","pop star","alcatel","1280","720","8","2015","5",97
"304sh","aquos xx","softbank","1920","1080","13.1","2014","5.2",97
"da220hql","all-in-one","acer","1080","1920","1.2","2013","21.5",97
"d516w","desire 516 dual sim","htc","960","540","5","2014","5",97
"s7-701u","mediapad 7 youth","huawei","600","1024","3.15","2013","7",97
"r831s","neo 5","oppo","854","480","5","2014","4.5",97
"hy-e702","media pad","hyundai","480","800","3","2013","7",96
"p7-l09","ascend p7","huawei","1920","1080","13","2014","5.5",96
"z321e","j","htc","960","540","NULL","2012","4.3",96
"dmc-cm1","lumix smart camera cm1","panasonic","1920","1080","20.1","2014","4.7",96
"pixel v2","pixel v2","lava","1280","720","13","2015","5",96
"6535lvw","one m9","htc","1920","1080","20.7","2015","5",96
